sprint_id,sprint_label,team_id,team_name,start_date,end_date,planned_points,completed_points,defects_found,defects_resolved
SP-001,2024-Q4-S1,T01,Compute Platform,2024-11-04,2024-11-17,57,50,4,3
SP-002,2024-Q4-S1,T02,Network Firmware,2024-11-04,2024-11-17,43,35,6,5
SP-003,2024-Q4-S1,T03,Security Infrastructure,2024-11-04,2024-11-17,47,43,3,3
SP-004,2024-Q4-S1,T04,Developer Tools,2024-11-04,2024-11-17,30,17,4,3
SP-005,2024-Q4-S2,T01,Compute Platform,2024-11-18,2024-12-01,58,46,5,5
SP-006,2024-Q4-S2,T02,Network Firmware,2024-11-18,2024-12-01,34,29,4,4
SP-007,2024-Q4-S2,T03,Security Infrastructure,2024-11-18,2024-12-01,48,45,3,3
SP-008,2024-Q4-S2,T04,Developer Tools,2024-11-18,2024-12-01,35,29,3,3
SP-009,2024-Q4-S3,T01,Compute Platform,2024-12-02,2024-12-15,64,58,2,2
SP-010,2024-Q4-S3,T02,Network Firmware,2024-12-02,2024-12-15,46,38,8,7
SP-011,2024-Q4-S3,T03,Security Infrastructure,2024-12-02,2024-12-15,50,47,4,3
SP-012,2024-Q4-S3,T04,Developer Tools,2024-12-02,2024-12-15,31,28,4,3
SP-013,2024-Q4-S4,T01,Compute Platform,2024-12-16,2024-12-29,60,51,3,2
SP-014,2024-Q4-S4,T02,Network Firmware,2024-12-16,2024-12-29,42,32,5,4
SP-015,2024-Q4-S4,T03,Security Infrastructure,2024-12-16,2024-12-29,50,45,4,4
SP-016,2024-Q4-S4,T04,Developer Tools,2024-12-16,2024-12-29,37,23,6,5
SP-017,2025-Q1-S1,T01,Compute Platform,2024-12-30,2025-01-12,47,33,4,4
SP-018,2025-Q1-S1,T02,Network Firmware,2024-12-30,2025-01-12,42,29,8,7
SP-019,2025-Q1-S1,T03,Security Infrastructure,2024-12-30,2025-01-12,50,48,5,5
SP-020,2025-Q1-S1,T04,Developer Tools,2024-12-30,2025-01-12,32,23,6,5
SP-021,2025-Q1-S2,T01,Compute Platform,2025-01-13,2025-01-26,58,54,4,3
SP-022,2025-Q1-S2,T02,Network Firmware,2025-01-13,2025-01-26,46,33,6,5
SP-023,2025-Q1-S2,T03,Security Infrastructure,2025-01-13,2025-01-26,49,42,3,2
SP-024,2025-Q1-S2,T04,Developer Tools,2025-01-13,2025-01-26,38,28,7,6
SP-025,2025-Q1-S3,T01,Compute Platform,2025-01-27,2025-02-09,60,54,4,3
SP-026,2025-Q1-S3,T02,Network Firmware,2025-01-27,2025-02-09,47,39,8,7
SP-027,2025-Q1-S3,T03,Security Infrastructure,2025-01-27,2025-02-09,55,49,1,1
SP-028,2025-Q1-S3,T04,Developer Tools,2025-01-27,2025-02-09,33,23,5,4
SP-029,2025-Q1-S4,T01,Compute Platform,2025-02-10,2025-02-23,56,52,4,3
SP-030,2025-Q1-S4,T02,Network Firmware,2025-02-10,2025-02-23,34,27,9,7
SP-031,2025-Q1-S4,T03,Security Infrastructure,2025-02-10,2025-02-23,43,36,3,2
SP-032,2025-Q1-S4,T04,Developer Tools,2025-02-10,2025-02-23,32,18,7,5
